"Идентификатор";"Элемент";"Корпус";"Количество";"Номинал";"Supplier and ref";
1;"XP6";"JTAG";1;"JTAG";;;
2;"XT1";"KX-K_24.0MHz";1;"CRYSTAL";;;
3;"XP1";"MW-2M_power";1;"CONN_02_M";;;
4;"DA10";"QFN28";1;"MAX2769";;;
5;"F1";"SAW_3.0x3.0";1;"TA1575IG";;;
6;"VD7,VD3,VD5";"SIP_2_100_70";3;"LED";;;
7;"SW1";"SIP_3_100_70";1;"TUMBLER";;;
8;"XP3";"SMA_EDGE_KHD19A";1;"16MHz_OUT";;;
9;"XP2";"SMA_EDGE_KHD19A";1;"16MHz_IN";;;
10;"XP5,XP4";"SMA_EDGE_KHD19A";2;"1575MHz_IN";;;
11;"C3,C41,C38,C45,C47,C16,C52,C26,C32,C37,C72,C74,C76,C15,C25,C78";"SMD_0402";16;"0.1u";;;
12;"C39,C44,C46,C48,C49,C51,C36,C50,C34,C4";"SMD_0402";10;"100";;;
13;"R52,R51,R50,R49,R48,R47,R46,R45,R44,R43,R42,R41,R40,R39,R38,R37,R33,R32,R31,R30,R29,R28,R27,R26,R25,R24,R23,R22";"SMD_0402";28;"43";;;
14;"R21,R20,R19,R18,R16,R15,R13";"SMD_0402";7;"10k";;;
15;"R17";"SMD_0402";1;"20k";;;
16;"R14";"SMD_0402";1;"100k";;;
17;"C70,C73,C75,C77";"SMD_0402";4;"0.01u";;;
18;"R1";"SMD_0402";1;"51";;;
19;"C54";"SMD_0402";1;"27";;;
20;"C55";"SMD_0402";1;"470";;;
21;"R2,R5,R6,R7,R10,R11,R12,R3,R4";"SMD_0603";9;"20k";;;
22;"R34,R35";"SMD_0603";2;"2.2k";;;
23;"VD6,VD2,VD4";"SMD_0603";3;"LED";;;
24;"C7,C9,C79,C5,C67,C65,C62,C61,C58,C57,C56,C8,C53,C6,C40,C28,C17,C27,C18,C33,C24,C63";"SMD_0603";22;"0.1u";;;
25;"R53";"SMD_0603";1;"100k";;;
26;"R8,R9";"SMD_0603";2;"0";;;
27;"C69,C66,C19,C20,C22,C23,C21";"SMD_0603";7;"2.2u";;;
28;"C64";"SMD_0603";1;"1u";;;
29;"C60,C59";"SMD_0603";2;"12";;;
30;"R36";"SMD_0603";1;"1M";;;
31;"C10,C12,C13,C14,C11";"SMD_0603";5;"0.01u";;;
32;"R54";"SMD_0603";1;"10k";;;
33;"R55,R56,R57";"SMD_0603";3;"RES";;;
34;"R58";"SMD_0603";1;"1k";;;
35;"R59";"SMD_0603";1;"4.7k";;;
36;"C29,C31,C1,C30,C71,C68,C42,C2";"SMD_0805";8;"10u";;;
37;"C43";"SMD_0805";1;"CAPP";;;
38;"L1";"SMD_0805";1;"0.033u";;;
39;"VD1";"SMD_DO214AC";1;"RS1A";;;
40;"DA5,DA2,DA3,DA4,DA6";"SMD_SOT23_5";5;"IC_TPS79230";;;
41;"DD2";"SMD_SSOP_56";1;"IC_CY7C68013A";;;
42;"VD8";"SOD-123";1;"1N4148W";;;
43;"DA1";"TCXO_NDK_3.2x2.5";1;"IC_NT3225SA";;;
44;"DD3";"VQG64";1;"IC_XC9572XL";;;
45;"R61,R62,R63";"SMD_0402";3;"RES";;;
46;"DA8,DA7,DA9";"SMD_SO_8_50_150_mod";3;"IC_AD8063";;;
47;"R60";"SIP_2_100_70";1;"RES";;;
48;"DD1";"SMD_SO_8_50_150_mod";1;"IC_24_XX";;;
49;"J1";"CONN_USB_M2";1;"USB";;;
50;"R64";"SMD_0402";1;"0";;;
